cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Left_V,Right_VAmc,R_assocAudMean,0.469289,-2.00E-06,3.00E-06,0.000019,0.901308,0.305722237
Left_V,Right_VAmc,R_insOperMean,0.424439,-2.00E-06,5.00E-06,0.000019,0.336297,0.792898243
Left_V,Right_VAmc,R_postCingMean,0.807998,-3.00E-06,2.00E-06,0.000019,0.992773,0.749403703
Left_V,Right_VAmc,R_tpjMean,0.498101,-4.00E-06,0,0.000019,0.109841,0.690188072
Left_V,Right_MDl,R_antCingMean,0.95947,-8.00E-06,7.00E-06,0,0.879916,0.797200155
Left_V,Right_MDl,R_assocAudMean,0.757498,0,5.00E-06,0,0.198018,0.305722237
Left_V,Right_MDl,R_insOperMean,0.342716,-2.00E-06,6.00E-06,0,0.305163,0.792898243
Left_V,Right_MDl,R_postCingMean,0.52068,-1.00E-06,5.00E-06,0,0.264617,0.749403703
Left_V,Right_MDl,R_tpjMean,0.656015,-3.00E-06,4.00E-06,0,0.803145,0.690188072
Left_V,Right_CeM,R_somatoMean,0.340752,0,7.00E-06,0.000096,0.018314,0.61407534
Left_V,Right_CeM,R_antCingMean,0.503823,-7.00E-06,2.00E-06,0.000096,0.127047,0.797200155
Left_V,Right_CeM,R_earlyAudMean,0.005528,0,7.00E-06,0.000096,0.002354,0.245827434
Left_V,Right_CeM,R_assocAudMean,0.618527,-2.00E-06,3.00E-06,0.000096,0.552001,0.305722237
Left_V,Right_CeM,R_insOperMean,0.28932,-2.00E-06,5.00E-06,0.000096,0.143067,0.792898243
Left_V,Right_CeM,R_postCingMean,0.838224,-2.00E-06,3.00E-06,0.000096,0.417246,0.749403703
Left_V,Right_CeM,R_tpjMean,0.802215,-3.00E-06,1.00E-06,0.000096,0.314713,0.690188072
Left_V,Right_VA,R_somatoMean,0.293889,0,7.00E-06,0.000023,0.019235,0.61407534
Left_V,Right_VA,R_antCingMean,0.532668,-7.00E-06,2.00E-06,0.000023,0.178252,0.797200155
Left_V,Right_VA,R_earlyAudMean,0.004145,0,8.00E-06,0.000023,0.002177,0.245827434
Left_V,Right_VA,R_assocAudMean,0.44346,-2.00E-06,2.00E-06,0.000023,0.951702,0.305722237
Left_V,Right_VA,R_insOperMean,0.391194,-2.00E-06,5.00E-06,0.000023,0.288078,0.792898243
Left_V,Right_VA,R_postCingMean,0.901452,-2.00E-06,3.00E-06,0.000023,0.836189,0.749403703
Left_V,Right_VA,R_tpjMean,0.687461,-3.00E-06,1.00E-06,0.000023,0.242049,0.690188072
Left_V,Right_MV_Re,R_somatoMean,0.38148,0,6.00E-06,0.001207,0.007994,0.61407534
Left_V,Right_MV_Re,R_antCingMean,0.830689,-4.00E-06,3.00E-06,0.001207,0.987629,0.797200155
Left_V,Right_MV_Re,R_earlyAudMean,0.014479,0,6.00E-06,0.001207,0.005484,0.245827434
Left_V,Right_MV_Re,R_assocAudMean,0.806061,-1.00E-06,3.00E-06,0.001207,0.17866,0.305722237
Left_V,Right_MV_Re,R_insOperMean,0.213714,-1.00E-06,5.00E-06,0.001207,0.042599,0.792898243
Left_V,Right_MV_Re,R_postCingMean,0.689053,-1.00E-06,3.00E-06,0.001207,0.167077,0.749403703
Left_V,Right_MV_Re,R_tpjMean,0.976183,-2.00E-06,1.00E-06,0.001207,0.518814,0.690188072
Left_V,Right_VM,R_somatoMean,0.460023,0,6.00E-06,0.000034,0.058933,0.61407534
Left_V,Right_VM,R_antCingMean,0.606787,-6.00E-06,1.00E-06,0.000034,0.232636,0.797200155
Left_V,Right_VM,R_assocAudMean,0.486354,-1.00E-06,2.00E-06,0.000034,0.845916,0.305722237
Left_V,Right_VM,R_insOperMean,0.654907,-2.00E-06,3.00E-06,0.000034,0.68971,0.792898243
