"","cer","thal","neo","model","direct effect","direct lower CI","direct higher CI","index of mod_med","indirect lower CI","indirect higher CI"
"183","Left_Dentate","Right_PuA","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000186","-0.0000336","-0.0000034"
"184","Left_Dentate","Right_LGN","R_antCingMean","14","NaN","NaN","NaN","-0.0000085","-0.0000175","-0.0000012"
"185","Left_X","Right_MDl","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000243","-0.0000488","-0.0000028"
"186","Left_IX","Right_LP","R_antCingMean","58","NaN","NaN","NaN","-0.0000041","-0.0000077","-0.0000008"
"187","Left_IX","Right_LP","R_antCingMean","14","NaN","NaN","NaN","-0.0000046","-0.0000080","-0.0000013"
"188","Left_IX","Right_AV","R_somatoMean","58","NaN","NaN","NaN","-0.0000056","-0.0000088","-0.0000005"
"189","Left_IX","Right_AV","R_somatoMean","14","NaN","NaN","NaN","-0.0000050","-0.0000089","-0.0000008"
"190","Left_IX","Right_Pt","R_somatoMean","58","NaN","NaN","NaN","-0.0000052","-0.0000091","-0.0000001"
"191","Left_VIIIb","Right_MDl","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000041","-0.0000083","-0.0000002"
"192","Left_VIIIa","Right_MDl","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000029","-0.0000059","-0.0000001"
"193","Left_CrusI","Right_MDl","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000015","-0.0000028","-0.0000003"
"194","Left_VI","Right_MDl","R_earlyAudMean","58","NaN","NaN","NaN","-0.0000026","-0.0000042","-0.0000008"
"195","Left_VI","Right_MDl","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000023","-0.0000042","-0.0000007"
"196","Left_V","Right_MDl","R_earlyAudMean","58","NaN","NaN","NaN","-0.0000055","-0.0000090","-0.0000012"
"197","Left_V","Right_MDl","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000049","-0.0000092","-0.0000011"
"198","Left_I_IV","Right_AV","R_somatoMean","58","NaN","NaN","NaN","-0.0000058","-0.0000091","-0.0000009"
"199","Left_I_IV","Right_AV","R_somatoMean","14","NaN","NaN","NaN","-0.0000050","-0.0000086","-0.0000012"
"200","Left_I_IV","Right_Pt","R_somatoMean","58","NaN","NaN","NaN","-0.0000056","-0.0000093","-0.0000006"
"201","Left_I_IV","Right_MDl","R_earlyAudMean","58","NaN","NaN","NaN","-0.0000080","-0.0000129","-0.0000013"
"202","Left_I_IV","Right_MDl","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000071","-0.0000133","-0.0000015"
"203","Left_I_IV","Right_MDl","R_somatoMean","58","NaN","NaN","NaN","-0.0000069","-0.0000116","-0.0000021"
"204","Left_I_IV","Right_MDl","R_somatoMean","14","NaN","NaN","NaN","-0.0000059","-0.0000105","-0.0000018"
